id;code;status;total_amount;created_at
1;withdrawal withdrawal Internal;COMPLETED;11951;2026-05-03T08:48:04
2;generate withdrawal Investment;CANCELLED;90624;2026-05-03T06:49:17
3;Soft Kina;DRAFT;94768;2026-05-03T15:09:03
4;Dynamic;CANCELLED;52616;2026-05-03T13:27:14
5;Handcrafted;COMPLETED;21334;2026-05-03T10:43:46
6;Rubber;COMPLETED;90864;2026-05-03T20:38:23
7;strategic firewall superstructure;CANCELLED;87384;2026-05-03T02:42:16
8;moderator Sausages;COMPLETED;67696;2026-05-03T18:18:42
9;fuchsia;CANCELLED;58969;2026-05-04T00:16:11
10;Samoa Borders;CANCELLED;77078;2026-05-03T05:45:46
